par_state,par_county,kid_race,par_pctile,shrunk_xkid_stubalance2020,county_name
1,1,AIAN,-9,19975,Autauga
1,1,White,-9,8953.405172413793,Autauga
1,1,Asian,50,8440,Autauga
1,1,Pooled,-9,10263.47742818057,Autauga
1,1,Pooled,75,10708.10810810811,Autauga
1,1,Black,-9,15638.06451612903,Autauga
1,1,AIAN,75,27760,Autauga
1,1,Pooled,25,9759.1299270073,Autauga
1,1,AIAN,25,12190,Autauga
1,1,White,50,8652.5,Autauga
1,1,Hispanic,-9,13017,Autauga
1,1,Black,75,17760,Autauga
1,1,Pooled,50,10233.6190175577,Autauga
1,1,Hispanic,75,18930,Autauga
1,1,AIAN,50,19975,Autauga
1,1,Hispanic,25,7104,Autauga
1,1,Asian,25,6500,Autauga
1,1,Black,25,15230,Autauga
1,1,Asian,-9,8440,Autauga
1,1,White,75,9995,Autauga
1,1,Hispanic,50,13017,Autauga
1,1,Black,50,16495,Autauga
1,1,White,25,7310,Autauga
1,1,Asian,75,10380,Autauga
1,3,Hispanic,25,11770,Baldwin
1,3,AIAN,-9,5850,Baldwin
1,3,Pooled,-9,10063.50917094644,Baldwin
1,3,Black,50,15620,Baldwin
1,3,Asian,-9,12461,Baldwin
1,3,Asian,50,12461,Baldwin
1,3,Pooled,75,11523.63610108303,Baldwin
1,3,Black,75,18040,Baldwin
1,3,White,50,9261.5,Baldwin
1,3,AIAN,75,7607,Baldwin
1,3,Hispanic,50,11175,Baldwin
1,3,White,25,7263,Baldwin
1,3,Pooled,25,8555.473527218493,Baldwin
1,3,White,-9,9502.698275862069,Baldwin
1,3,White,75,11260,Baldwin
1,3,AIAN,25,4093,Baldwin
1,3,Black,-9,13981.6149068323,Baldwin
1,3,Asian,75,17930,Baldwin
1,3,Pooled,50,10039.55481415076,Baldwin
1,3,Hispanic,-9,11380.96153846154,Baldwin
1,3,AIAN,50,5850,Baldwin
1,3,Black,25,13200,Baldwin
1,3,Hispanic,75,10580,Baldwin
1,3,Asian,25,6992,Baldwin
1,5,White,25,6375,Barbour
1,5,Black,50,22925,Barbour
1,5,Asian,-9,8801,Barbour
1,5,Hispanic,25,24460,Barbour
1,5,Asian,50,8801,Barbour
1,5,White,50,7994.5,Barbour
1,5,Black,75,30030,Barbour
1,5,Asian,25,6892,Barbour
1,5,Hispanic,50,27440,Barbour
1,5,Asian,75,10710,Barbour
1,5,Black,-9,16941.84210526316,Barbour
1,5,Hispanic,-9,27440,Barbour
1,5,Pooled,75,12629.02222222222,Barbour
1,5,Pooled,25,12398.35028248588,Barbour
1,5,Pooled,50,12513.68625235405,Barbour
1,5,Hispanic,75,30420,Barbour
1,5,Pooled,-9,12476.10486891386,Barbour
1,5,White,75,9614,Barbour
1,5,Black,25,15820,Barbour
1,5,White,-9,8100.890510948905,Barbour
1,7,Black,50,10271,Bibb
1,7,Black,75,8842,Bibb
1,7,White,75,7830,Bibb
1,7,Black,25,11700,Bibb
1,7,Hispanic,50,10188,Bibb
1,7,Pooled,-9,6815.756756756757,Bibb
1,7,Pooled,50,7074.976711144058,Bibb
